id,latitude,longitude,open,accessible
wp311,39.25735426,-76.71106689,TRUE,TRUE
wp312,39.25760756,-76.71144723,TRUE,TRUE
wp313,39.25781116,-76.71179827,TRUE,TRUE
wp314,39.2581252,-76.71236033,TRUE,TRUE
wp315,39.25817405,-76.7124504,TRUE,TRUE
wp316,39.25810768,-76.71264153,TRUE,TRUE
wp317,39.25817673,-76.71258049,TRUE,TRUE
wp318,39.25814911,-76.71252327,TRUE,TRUE
wp319,39.25825063,-76.71260404,TRUE,TRUE
wp320,39.25832801,-76.71274856,TRUE,TRUE
wp321,39.25840957,-76.71277043,TRUE,TRUE
wp322,39.25838708,-76.71284583,TRUE,TRUE
wp323,39.25873458,-76.7134494,TRUE,TRUE
wp324,39.25913909,-76.71317912,TRUE,TRUE
wp325,39.25927913,-76.71286832,TRUE,TRUE
wp326,39.25946175,-76.71230409,TRUE,TRUE
wp327,39.25956525,-76.71177149,TRUE,TRUE
wp328,39.25960811,-76.71118363,TRUE,TRUE
wp329,39.25956804,-76.71043854,TRUE,TRUE
wp330,39.25946885,-76.70990531,TRUE,TRUE
wp331,39.25928529,-76.70933693,TRUE,TRUE
wp332,39.25904384,-76.70882895,TRUE,TRUE
wp333,39.25878396,-76.7084178,TRUE,TRUE
wp334,39.25857511,-76.70817847,TRUE,TRUE
wp335,39.25848798,-76.70810681,TRUE,TRUE
wp336,39.25818229,-76.70769893,TRUE,TRUE
wp337,39.25763746,-76.70712686,TRUE,TRUE
wp338,39.25716579,-76.70669408,TRUE,TRUE
wp339,39.25683812,-76.70642606,TRUE,TRUE
wp340,39.25668889,-76.70635296,TRUE,TRUE
wp341,39.25294508,-76.70906233,TRUE,TRUE
wp342,39.2529466,-76.70943444,TRUE,TRUE
wp343,39.25277114,-76.70962301,TRUE,TRUE
wp344,39.2524331,-76.70914755,TRUE,TRUE
wp345,39.25325576,-76.70929173,TRUE,TRUE
wp346,39.2533901,-76.70939489,TRUE,TRUE
wp347,39.25363935,-76.70958028,TRUE,TRUE
wp348,39.25384529,-76.70973672,TRUE,TRUE
wp349,39.25356154,-76.70932357,TRUE,TRUE
wp350,39.25661685,-76.70676108,TRUE,TRUE
wp351,39.25661908,-76.70687873,TRUE,TRUE
wp352,39.25664224,-76.70711664,TRUE,TRUE
wp353,39.25674523,-76.7075668,TRUE,TRUE
wp354,39.25656715,-76.7071687,TRUE,FALSE
wp355,39.25641307,-76.70724392,TRUE,TRUE
wp356,39.25655905,-76.70768474,TRUE,TRUE
wp357,39.25614317,-76.70788108,TRUE,TRUE
wp358,39.25650744,-76.70771574,TRUE,TRUE
wp359,39.25640957,-76.70775412,TRUE,TRUE
wp360,39.25642263,-76.70758476,TRUE,TRUE
wp361,39.25628331,-76.7073321,TRUE,TRUE
wp362,39.25601962,-76.70742653,TRUE,TRUE
wp363,39.25607375,-76.70725265,TRUE,TRUE
wp364,39.2559439,-76.707168,TRUE,TRUE
wp365,39.25586732,-76.70708527,TRUE,TRUE
wp366,39.25593904,-76.70685699,TRUE,TRUE
wp367,39.25566881,-76.70693966,TRUE,TRUE
wp368,39.25550996,-76.70693086,TRUE,TRUE
wp369,39.25529672,-76.70709974,TRUE,TRUE
wp370,39.25531802,-76.70678119,TRUE,TRUE
wp371,39.25525455,-76.70659377,TRUE,TRUE
wp372,39.25533098,-76.70641832,TRUE,TRUE
wp373,39.25512422,-76.70641877,TRUE,FALSE
wp374,39.25550951,-76.70630033,TRUE,TRUE
wp375,39.25640861,-76.70679329,TRUE,TRUE
wp376,39.25633618,-76.70653627,TRUE,TRUE
wp377,39.25605962,-76.70648274,TRUE,TRUE
wp378,39.25611371,-76.70637089,TRUE,TRUE
wp379,39.25617871,-76.70616165,TRUE,FALSE
wp380,39.25624497,-76.7059887,TRUE,TRUE
wp381,39.25598898,-76.7058911,TRUE,TRUE
wp382,39.25571422,-76.70586576,TRUE,TRUE
wp383,39.25559774,-76.70586471,TRUE,TRUE
wp384,39.25565535,-76.70605443,TRUE,TRUE
wp385,39.25491845,-76.70610263,TRUE,TRUE
wp386,39.2549478,-76.70619588,TRUE,FALSE
wp387,39.25473866,-76.70619137,TRUE,TRUE
wp388,39.25481658,-76.70639357,TRUE,FALSE
wp389,39.25479849,-76.706288,TRUE,FALSE
wp390,39.25487269,-76.70625531,TRUE,FALSE
wp391,39.25476465,-76.70642599,TRUE,TRUE
wp392,39.25488416,-76.70684029,TRUE,TRUE
wp393,39.25501113,-76.70728108,TRUE,TRUE
wp394,39.25506527,-76.70724534,TRUE,FALSE
wp395,39.25509035,-76.70754046,TRUE,TRUE
wp396,39.25520015,-76.70754517,TRUE,TRUE
wp397,39.25515262,-76.70736826,TRUE,TRUE
wp398,39.25550773,-76.70739515,TRUE,TRUE
wp399,39.25538048,-76.70779589,TRUE,TRUE
wp400,39.25543407,-76.70793003,TRUE,TRUE
wp401,39.25456475,-76.706323,TRUE,TRUE
wp402,39.25374299,-76.7070925,TRUE,TRUE
wp403,39.25379038,-76.70716459,TRUE,FALSE
wp404,39.25372529,-76.70722108,TRUE,TRUE
wp405,39.25381636,-76.70720503,TRUE,TRUE
wp406,39.2525115,-76.70885827,TRUE,TRUE
wp407,39.2537196,-76.70945854,TRUE,TRUE
wp408,39.25403225,-76.70962818,TRUE,TRUE
wp409,39.25395765,-76.70981751,TRUE,TRUE
wp410,39.254207,-76.71009545,TRUE,TRUE
wp411,39.25416821,-76.70959496,TRUE,TRUE
wp412,39.25415896,-76.70933078,TRUE,TRUE
wp413,39.25403369,-76.70914261,TRUE,TRUE
wp414,39.25395199,-76.70907653,TRUE,TRUE
wp415,39.25388507,-76.70901857,TRUE,TRUE
wp416,39.2538152,-76.70914382,TRUE,TRUE
wp417,39.25370861,-76.70906476,TRUE,TRUE
wp418,39.25377862,-76.70893302,TRUE,TRUE
wp419,39.2536563,-76.70918441,TRUE,TRUE
wp420,39.25357203,-76.70912125,TRUE,TRUE
wp421,39.25364541,-76.70897853,TRUE,TRUE
wp422,39.2537078,-76.70886655,TRUE,TRUE
wp423,39.25382725,-76.70864076,TRUE,TRUE
wp424,39.25403218,-76.70840155,TRUE,TRUE
wp425,39.25410036,-76.70819334,TRUE,TRUE
wp426,39.25417701,-76.70811532,TRUE,TRUE
wp427,39.25421003,-76.70824571,TRUE,TRUE
wp428,39.2543024,-76.70797909,TRUE,TRUE
wp429,39.25435255,-76.70806309,TRUE,TRUE
wp430,39.25433018,-76.70802461,TRUE,FALSE
wp431,39.2542435,-76.70790216,TRUE,TRUE
wp432,39.25409776,-76.70753537,TRUE,TRUE
wp433,39.2538672,-76.70728101,TRUE,TRUE
wp434,39.2545897,-76.70783221,TRUE,TRUE
wp435,39.25464681,-76.70773902,TRUE,TRUE
wp436,39.2546207,-76.70764973,TRUE,TRUE
wp437,39.25483953,-76.70748283,TRUE,TRUE
wp438,39.25495349,-76.70751223,TRUE,TRUE
wp439,39.25499742,-76.70772079,TRUE,TRUE
wp440,39.25515837,-76.70758603,TRUE,TRUE
wp441,39.25514958,-76.70773763,TRUE,TRUE
wp442,39.25534598,-76.70843897,TRUE,TRUE
wp443,39.25522202,-76.70849851,TRUE,TRUE
wp444,39.25510999,-76.70854209,TRUE,TRUE
wp445,39.25487627,-76.70792582,TRUE,TRUE
wp446,39.25476511,-76.70799411,TRUE,TRUE
wp447,39.25471872,-76.70788444,TRUE,TRUE
wp448,39.25463759,-76.70794935,TRUE,TRUE
wp449,39.25467701,-76.70804805,TRUE,TRUE
wp450,39.25456743,-76.70812505,TRUE,TRUE
wp451,39.25454122,-76.7080661,TRUE,TRUE
wp452,39.25443104,-76.70818767,TRUE,TRUE
wp453,39.25426533,-76.70839343,TRUE,TRUE
wp454,39.25437111,-76.70850862,TRUE,TRUE
wp455,39.25449932,-76.70845277,TRUE,TRUE
wp456,39.25472262,-76.7092298,TRUE,TRUE
wp457,39.25481646,-76.70920751,TRUE,TRUE
wp458,39.25482551,-76.70881688,TRUE,TRUE
wp459,39.25478729,-76.70868595,TRUE,TRUE
wp460,39.25485874,-76.70866461,TRUE,TRUE
wp461,39.25499205,-76.70859699,TRUE,TRUE
wp462,39.25500325,-76.7091676,TRUE,TRUE
wp463,39.25479822,-76.70948336,TRUE,TRUE
wp464,39.25516144,-76.70972312,TRUE,TRUE
wp465,39.25522204,-76.70951611,TRUE,TRUE
wp466,39.25547539,-76.70940441,TRUE,TRUE
wp467,39.25551196,-76.70955518,TRUE,TRUE
wp468,39.25564297,-76.70943798,TRUE,TRUE
wp469,39.25541444,-76.70869812,TRUE,TRUE
wp470,39.25548899,-76.70865485,TRUE,TRUE
wp471,39.25548653,-76.70857195,TRUE,FALSE
wp472,39.25595338,-76.70930718,TRUE,TRUE
wp473,39.25609457,-76.70924468,TRUE,TRUE
wp474,39.25607062,-76.70916757,TRUE,FALSE
wp475,39.2561185,-76.7091419,TRUE,TRUE
wp476,39.25614313,-76.7092225,TRUE,TRUE
wp477,39.25635988,-76.70911866,TRUE,TRUE
wp478,39.25626609,-76.70883245,TRUE,TRUE
wp479,39.25622997,-76.70864829,TRUE,TRUE
wp480,39.25617526,-76.70847449,TRUE,TRUE
wp481,39.25638595,-76.70831865,TRUE,TRUE
wp482,39.25607186,-76.70808345,TRUE,TRUE
wp483,39.25577824,-76.70821629,TRUE,TRUE
wp484,39.25573427,-76.70798355,TRUE,TRUE
wp485,39.25560212,-76.70814068,TRUE,TRUE
wp486,39.25693054,-76.70902168,TRUE,TRUE
wp487,39.25681562,-76.70880281,TRUE,FALSE
wp488,39.25684164,-76.70889951,TRUE,TRUE
wp489,39.25709785,-76.70877316,TRUE,TRUE
wp490,39.25703631,-76.70857483,TRUE,TRUE
wp491,39.25692393,-76.70864028,TRUE,TRUE
wp492,39.25666246,-76.70763156,TRUE,TRUE
wp493,39.25677369,-76.70773669,TRUE,TRUE
wp494,39.25669499,-76.70773227,TRUE,TRUE
wp495,39.25711834,-76.70753283,TRUE,TRUE
wp496,39.25685297,-76.70789013,TRUE,TRUE
wp497,39.25713946,-76.70779778,TRUE,FALSE
wp498,39.25716182,-76.70821145,TRUE,TRUE
wp499,39.25698984,-76.70828271,TRUE,TRUE
wp500,39.25740047,-76.70832997,TRUE,TRUE
wp501,39.25750011,-76.70857815,TRUE,TRUE
wp502,39.25772342,-76.70847396,TRUE,TRUE
wp503,39.25756781,-76.70789386,TRUE,TRUE
wp504,39.25749924,-76.70794848,TRUE,TRUE
wp505,39.25788852,-76.70840392,TRUE,TRUE
wp506,39.25786163,-76.70830862,TRUE,TRUE
wp507,39.25787427,-76.70819614,TRUE,FALSE
wp508,39.25783676,-76.70820702,TRUE,TRUE
wp509,39.2577799,-76.70802024,TRUE,TRUE
wp510,39.25790352,-76.70818644,TRUE,TRUE
wp511,39.2579246,-76.70828017,TRUE,TRUE
wp512,39.25795197,-76.70836914,TRUE,TRUE
wp513,39.25833448,-76.70819122,TRUE,TRUE
wp514,39.25842428,-76.70820557,TRUE,TRUE
wp515,39.25273324,-76.7140038,TRUE,TRUE
